해당연월,일본,중국,홍콩,대만,싱가폴,말레이시아,인도네시아,베트남,태국,아시아 기타,미국,서구 기타,관련부서,데이터기준일자
2024-01,826,86065,1427,5394,1528,724,515,289,112,1480,1153,1630,제주특별자치도 관광정책과,2025-03-19
2024-02,1377,89999,1935,7360,1857,1228,518,296,123,1235,1258,1619,제주특별자치도 관광정책과,2025-03-19
2024-03,2014,114132,3921,12856,4570,1132,625,537,162,2849,3643,6415,제주특별자치도 관광정책과,2025-03-19
2024-04,2826,134389,3476,11053,3446,1278,1513,1290,312,4718,4889,8398,제주특별자치도 관광정책과,2025-03-19
2024-05,23006,129118,4003,12514,3669,1074,710,467,220,2677,3483,6326,제주특별자치도 관광정책과,2025-03-19
2024-06,2943,134392,4500,19579,3451,1004,1607,796,187,5004,5060,6098,제주특별자치도 관광정책과,2025-03-19
2024-07,4921,139847,3532,17995,2044,753,1974,455,156,6689,5334,7711,제주특별자치도 관광정책과,2025-03-19
2024-08,7244,152099,4306,22917,2100,629,2082,369,193,6209,4301,9498,제주특별자치도 관광정책과,2025-03-19
2024-09,10421,134364,3856,15208,2738,1354,1932,609,218,5288,4091,7914,제주특별자치도 관광정책과,2025-03-19
2024-10,6832,114577,4681,13902,4040,1416,2175,1172,342,6378,5231,11838,제주특별자치도 관광정책과,2025-03-19
2024-11,14233,75367,2826,10740,3640,1000,926,565,135,2767,3307,5021,제주특별자치도 관광정책과,2025-03-19
2024-12,2091,78664,3744,9967,4276,1191,737,475,182,2577,2090,2960,제주특별자치도 관광정책과,2025-03-19
import pandas as pd

# 원본 EUC-KR 인코딩 파일 읽기
df = pd.read_csv("제주특별자치도_외국인관광객현황_20250319.csv", encoding="euc-kr")

# 같은 이름으로 UTF-8 인코딩 파일로 저장 (덮어쓰기)
df.to_csv("제주특별자치도_외국인관광객현황_20250319.csv", index=False, encoding="utf-8")

