학교급,설립구분,학교,자치구,남녀공학구분,개교일자,우편번호,주소,전화번호,팩스번호,홈페이지
고등학교,공립,대정고등학교,서귀포시,남,1952-06-02,63509,제주특별자치도 서귀포시 대정읍 일주서로2498번길 21,064-730-0100,064-794-2070,http://daejeong.jje.hs.kr
고등학교,공립,대정여자고등학교,서귀포시,여,1964-03-16,63509,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22,064-730-5300,064-730-5399,http://djgirls.jje.hs.kr
고등학교,공립,서귀포고등학교,서귀포시,남,1969-03-25,63585,제주특별자치도 서귀포시 중앙로 140,064-730-6300,064-730-6377,http://seogwipo.jje.hs.kr
고등학교,공립,서귀포산업과학고등학교,서귀포시,남여공학,1936-05-29,63582,제주특별자치도 서귀포시 516로 501,064-730-5500,064-733-8764,http://sis.jje.hs.kr
고등학교,공립,서귀포여자고등학교,서귀포시,여,1963-03-15,63571,제주특별자치도 서귀포시 태평로 80,064-766-1100,064-739-0539,http://sgpo.jje.hs.kr
고등학교,공립,성산고등학교,서귀포시,남여공학,1949-11-15,63639,제주특별자치도 서귀포시 성산읍 한도로 79-17,064-786-5000,064-786-5115,http://jejuss.jje.hs.kr
고등학교,공립,중문고등학교,서귀포시,남여공학,1966-04-10,63540,제주특별자치도 서귀포시 일주서로570번길 19,064-735-7400,064-735-7499,http://jungmun.jje.hs.kr
고등학교,공립,표선고등학교,서귀포시,남여공학,1954-06-18,63629,제주특별자치도 서귀포시 표선면 표선중앙로 22-15,064-786-5500,064-786-5599,http://jjps.jje.hs.kr
고등학교,공립,세화고등학교,제주시,남여공학,1953-04-01,63361,제주특별자치도 제주시 구좌읍 세종로 26,064-780-1603,064-783-2480,http://sehwa.jje.hs.kr
고등학교,공립,애월고등학교,제주시,남여공학,1953-04-25,63044,제주특별자치도 제주시 애월읍 일주서로 6372-20,064-797-5100,064-799-6974,http://aewol.jje.hs.kr
고등학교,공립,제주고등학교,제주시,남여공학,1907-07-01,63092,제주특별자치도 제주시 1100로 3213,064-750-4114,064-747-4377,http://jeju.jje.hs.kr
고등학교,공립,제주과학고등학교,제주시,남여공학,1999-03-02,63144,제주특별자치도 제주시 산록북로 421-1,064-754-0700,064-754-0777,http://jeju-s.jje.hs.kr
고등학교,공립,제주여자상업고등학교,제주시,여,1966-03-08,63282,제주특별자치도 제주시 동문로 89-1,064-754-0100,064-754-0199,http://jejugc.jje.hs.kr
고등학교,공립,제주외국어고등학교,제주시,남여공학,2004-03-05,63065,제주특별자치도 제주시 애월읍 고성남길 34,064-717-7700,064-717-7703,http://jejufl.jje.hs.kr
고등학교,공립,제주제일고등학교,제주시,남,1955-05-16,63087,제주특별자치도 제주시 진군길 22,064-740-8200,064-740-8290,http://jeil.jje.hs.kr
고등학교,공립,제주중앙여자고등학교,제주시,여,1979-11-21,63231,제주특별자치도 제주시 구남동5길 11,064-717-3100,064-717-3110,http://jungang.jje.hs.kr
고등학교,공립,한국뷰티고등학교,제주시,남여공학,1969-03-08,63008,제주특별자치도 제주시 한경면 용고로 70,064-795-8240,064-772-5977,http://kbeauty.jje.hs.kr
고등학교,공립,한림고등학교,제주시,남여공학,1964-03-09,63012,제주특별자치도 제주시 한림읍 월계로 74,064-795-5500,064-796-9819,http://hallim.jje.hs.kr
고등학교,공립,한림공업고등학교,제주시,남여공학,1953-04-19,63028,제주특별자치도 제주시 한림읍 한림중앙로 87,064-797-3211,064-797-3219,http://hallim-th.jje.hs.kr
고등학교,공립,함덕고등학교,제주시,남여공학,1953-05-22,63332,제주특별자치도 제주시 조천읍 신흥로 9,064-780-7800,064-783-1247,http://hamdeok.jje.hs.kr
고등학교,공립,제주온라인학교,제주시,남여공학,2024-09-01,63092,제주특별자치도 제주시 1100로 3213,064-747-1700,064-747-1778,https://school.jje.go.kr/jejuon
고등학교,국립,제주대학교사범대학부설고등학교,제주시,남여공학,1984-03-06,63151,제주특별자치도 제주시 용담로 65,064-754-6500,064-754-6400,http://jnuh.jje.hs.kr
고등학교,사립,남주고등학교,서귀포시,남,1955-04-09,63579,제주특별자치도 서귀포시 동홍로303번길 14,064-730-6000,064-733-6100,http://namju.jje.hs.kr
